step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
110000,0.196161,0.020000,0.00001045,110000,1.79844583,2.24167986,2.26198009,77.68794250,77.79565430,174.07787081,0.89289597,31.21250000,0.14010417,588
112000,0.181546,0.020000,0.00000965,112000,1.80933668,2.25275475,2.25109015,77.54432678,77.45659637,164.74289128,0.89358270,29.67500000,0.13798990,600
114000,0.166930,0.020000,0.00000887,114000,1.80010794,2.24336831,2.25261184,77.72649384,77.53440857,165.17147537,0.88837359,31.28750000,0.14760131,610
116000,0.152315,0.020000,0.00000811,116000,1.80415717,2.24762403,2.24476652,78.23233032,78.21832275,168.19697220,0.89509913,31.86250000,0.14727807,621
118000,0.137700,0.020000,0.00000739,118000,1.81448019,2.25812909,2.25119694,77.95946503,76.81507874,170.96414588,0.90610323,30.32500000,0.13950000,631
120000,0.123084,0.020000,0.00000670,120000,1.80742540,2.25113434,2.24774223,77.72988129,77.63616180,161.98966018,0.90166580,29.67500000,0.13825000,642
122000,0.108469,0.020000,0.00000604,122000,1.82044371,2.26377227,2.26290866,77.71183014,77.72271729,156.93238969,0.89682713,27.70000000,0.13213261,653
124000,0.093853,0.020000,0.00000541,124000,1.81096926,2.25452523,2.25432155,78.31515503,77.56050873,162.03530371,0.90479545,27.23750000,0.13452015,664
126000,0.079238,0.020000,0.00000481,126000,1.81630261,2.25960667,2.26603316,78.20912170,76.64915466,167.70485722,0.91260179,28.27500000,0.13863754,674
128000,0.064623,0.020000,0.00000425,128000,1.81235505,2.25569614,2.24562753,78.28491211,78.19203949,180.07081736,0.90335034,29.96250000,0.14350000,684
130000,0.050007,0.020000,0.00000373,130000,1.81202593,2.25542185,2.22106354,78.12477112,78.14875793,174.08592782,0.90530839,28.78750000,0.14008333,695
132000,0.050000,0.020000,0.00000324,132000,1.82258189,2.26626481,2.24299564,78.48362732,78.70006561,161.79371842,0.90114966,26.01250000,0.13124430,706
134000,0.050000,0.020000,0.00000279,134000,1.82378573,2.26759654,2.23984750,78.46601868,78.92034149,164.76746772,0.89521489,25.93750000,0.13080313,716
136000,0.050000,0.020000,0.00000238,136000,1.83035203,2.27398401,2.23608368,78.21412659,78.90725708,175.68906936,0.89763725,26.42500000,0.12796702,727
138000,0.050000,0.020000,0.00000201,138000,1.82558230,2.26927148,2.22901977,78.12243652,76.98037720,178.70391587,0.90168000,28.15000000,0.13557486,737
140000,0.050000,0.020000,0.00000168,140000,1.82545249,2.26949929,2.23508896,78.80978394,77.51952362,166.05268091,0.91344215,26.78750000,0.13058696,748
142000,0.050000,0.020000,0.00000139,142000,1.82394998,2.26782711,2.22659050,78.68997192,78.12762451,173.30230598,0.91127653,27.65000000,0.13400000,758
144000,0.050000,0.020000,0.00000114,144000,1.83014932,2.27401103,2.25006811,78.96369934,78.84017181,175.44013840,0.90520444,30.03750000,0.14600000,769
146000,0.050000,0.020000,0.00000093,146000,1.82444359,2.26831610,2.24086697,78.84520721,78.34927368,176.36424195,0.90989246,30.71250000,0.14950000,779
148000,0.050000,0.020000,0.00000076,148000,1.82964096,2.27358261,2.23772281,78.77000427,78.17363739,179.22014634,0.90752252,27.42500000,0.13379747,789
150000,0.050000,0.020000,0.00000063,150000,1.83538708,2.27926908,2.22414735,78.64091492,78.47142029,169.05995430,0.91114406,24.15000000,0.11900138,800
152000,0.050000,0.020000,0.00000055,152000,1.83987399,2.28391259,2.21676683,78.54007721,78.73683167,145.13462828,0.92122318,21.11250000,0.10965219,813
154000,0.050000,0.020000,0.00000051,154000,1.84197239,2.28591475,2.22358821,78.89608002,77.88073730,150.98478720,0.91642258,24.55000000,0.12611975,824
155000,0.050000,0.020000,0.00000050,155000,1.84749749,2.29153356,2.23804745,78.87374878,78.40539551,149.01825079,0.93015000,23.08750000,0.11516148,831
